group	motion	pkl_path	video_path	frames	fps	duration_s
official_mimic_candidates	punch_hook_left_e5_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_hook_left_e5_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_hook_left_e5_stageii.mp4	81	29.725	2.725
official_mimic_candidates	punch_hook_right_e6_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_hook_right_e6_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_hook_right_e6_stageii.mp4	77	29.806	2.583
official_mimic_candidates	punch_jab_left_e1_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_jab_left_e1_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_jab_left_e1_stageii.mp4	99	29.774	3.325
official_mimic_candidates	punch_jab_right_e2_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_jab_right_e2_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_jab_right_e2_stageii.mp4	85	30.000	2.833
recovery_chains_yaw_aligned	recovery_prone_male1_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_prone_male1_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_prone_male1_to_ready.mp4	338	30.000	11.267
recovery_chains_yaw_aligned	recovery_supine_female1_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_supine_female1_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_supine_female1_to_ready.mp4	271	30.000	9.033
recovery_chains_yaw_aligned	recovery_supine_male1_reverse_fall_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_supine_male1_reverse_fall_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_supine_male1_reverse_fall_to_ready.mp4	375	29.905	12.540
recovery_chains_yaw_aligned	recovery_supine_male1_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_supine_male1_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_supine_male1_to_ready.mp4	364	29.900	12.174
recovery_chains_yaw_aligned	recovery_supine_male2_reverse_fall_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_supine_male2_reverse_fall_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_supine_male2_reverse_fall_to_ready.mp4	312	30.000	10.400
recovery_chains_yaw_aligned	recovery_supine_male2_to_ready	/data2/yangky/test/whole_body_tracking/artifacts/recovery_chain_T800/gmr_pkl_yaw_aligned/recovery_supine_male2_to_ready.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/recovery_chains_yaw_aligned/recovery_supine_male2_to_ready.mp4	281	29.947	9.383
